State,StateNum,Region,Lat,Long,Month,Month_Sin,Month_Cos,OutageStart,OutageEnd,OutageLength,Sum
New York,36,8,42.90217659,-74.43985937,7.740927419354839,-0.3782903409707266,-0.9256869978174326,2016-07-23 23:15:00,2016-07-24 02:15:00,3.0,986.5384615384615
New York,36,8,40.58183643,-74.15390987,7.741263440860215,-0.3784532009007244,-0.9256204269180732,2016-07-23 23:30:00,2016-07-24 01:00:00,1.5,3597.1428571428573
New York,36,8,40.7721053,-73.97166722,7.743279569892473,-0.3794301142885658,-0.9252203998891106,2016-07-24 01:00:00,2016-07-24 22:15:00,21.25,912.5697674418604
New York,36,8,40.73761782,-73.58622623,7.802755376344086,-0.4080542020264028,-0.9129577034061302,2016-07-25 21:15:00,2016-07-25 23:45:00,2.5,6666.454545454545
New York,36,8,40.70829859,-73.81734511,7.803427419354839,-0.4083754291332306,-0.9128140604089364,2016-07-25 21:45:00,2016-07-25 23:30:00,1.75,2172.25
New York,36,8,40.58183643,-74.15390987,7.804099462365592,-0.4086966056749455,-0.9126703043869556,2016-07-25 22:15:00,2016-07-26 01:15:00,3.0,4059.692307692308
New York,36,8,40.70829859,-73.81734511,7.838709677419355,-0.4251678830356404,-0.9051145072503214,2016-07-27 00:00:00,2016-07-27 01:15:00,1.25,2982.6666666666665
New York,36,8,42.81832249,-74.05833636,7.898185483870968,-0.4531437688960798,-0.8914374485686902,2016-07-28 20:15:00,2016-07-28 22:00:00,1.75,2990.25
New York,36,8,43.0061269,-76.19460186,7.898521505376344,-0.4533006017864975,-0.8913577084537941,2016-07-28 20:30:00,2016-07-28 22:30:00,2.0,1664.6666666666667
New York,36,8,42.81832249,-74.05833636,7.915658602150538,-0.4612803656840487,-0.8872544303830724,2016-07-29 09:15:00,2016-07-29 11:15:00,2.0,2507.222222222222
New York,36,8,42.90217659,-74.43985937,8.00268817204301,-0.5012184555025763,-0.86532078437052,2016-08-01 02:00:00,2016-08-01 05:30:00,3.5,630.0
New York,36,8,43.66134129,-74.49745908,8.019825268817204,-0.5089626651640485,-0.8607885951086415,2016-08-01 14:45:00,2016-08-01 16:00:00,1.25,2021.5
New York,36,8,42.90217659,-74.43985937,8.093077956989248,-0.541595809294556,-0.8406390303540366,2016-08-03 21:15:00,2016-08-03 23:00:00,1.75,780.5
New York,36,8,42.72855751,-77.77517835,8.125672043010752,-0.5558627768916523,-0.8312740662779642,2016-08-04 21:30:00,2016-08-05 04:00:00,6.5,1688.0
New York,36,8,42.78068586,-76.82362358,8.301747311827958,-0.6300311309004475,-0.7765698771497019,2016-08-10 08:30:00,2016-08-10 09:45:00,1.25,2003.0
New York,36,8,43.41936241,-74.96255405,8.320900537634408,-0.6377872315900781,-0.7702125987158767,2016-08-10 22:45:00,2016-08-11 00:00:00,1.25,831.0
New York,36,8,42.22817594,-79.36664149,8.350470430107526,-0.6496353292602619,-0.7602459726804944,2016-08-11 20:45:00,2016-08-11 22:30:00,1.75,2147.625
New York,36,8,43.42718293,-76.14177407,8.355174731182796,-0.6515059688845318,-0.7586435081827482,2016-08-12 00:15:00,2016-08-12 03:30:00,3.25,2540.214285714286
New York,36,8,44.59274379,-74.30395769,8.36122311827957,-0.6539052671807364,-0.7565764347065601,2016-08-12 04:45:00,2016-08-12 06:15:00,1.5,2512.285714285714
New York,36,8,43.66134129,-74.49745908,8.382728494623656,-0.6623828261010332,-0.7491655302310755,2016-08-12 20:45:00,2016-08-13 09:30:00,12.75,1350.0576923076924
New York,36,8,43.41936241,-74.96255405,8.382728494623656,-0.6623828261010332,-0.7491655302310755,2016-08-12 20:45:00,2016-08-13 09:30:00,12.75,1731.076923076923
New York,36,8,40.7721053,-73.97166722,8.390120967741936,-0.6652776443084275,-0.7465960460539752,2016-08-13 02:15:00,2016-08-13 08:15:00,6.0,310.8
New York,36,8,43.24167426,-75.4358883,8.396841397849462,-0.6679006490198821,-0.7442504437612518,2016-08-13 07:15:00,2016-08-13 09:30:00,2.25,2861.1
New York,36,8,44.04796973,-75.93125006,8.404569892473118,-0.670906878711783,-0.7415416104961425,2016-08-13 13:00:00,2016-08-13 14:15:00,1.25,2317.6666666666665
New York,36,8,42.71103722,-73.50952678,8.414650537634408,-0.6748115298945109,-0.7379901077395481,2016-08-13 20:30:00,2016-08-13 22:30:00,2.0,3751.6666666666665
New York,36,8,42.59987237,-73.97341306,8.414986559139784,-0.6749413617601895,-0.7378713696744854,2016-08-13 20:45:00,2016-08-13 22:15:00,1.5,1545.2857142857142
New York,36,8,43.42718293,-76.14177407,8.415322580645162,-0.6750711727330312,-0.7377526087685831,2016-08-13 21:00:00,2016-08-13 22:30:00,1.5,2142.285714285714
New York,36,8,43.66134129,-74.49745908,8.415322580645162,-0.6750711727330312,-0.7377526087685831,2016-08-13 21:00:00,2016-08-13 22:30:00,1.5,2081.5714285714284
New York,36,8,42.71103722,-73.50952678,8.418346774193548,-0.6762385306480905,-0.7366827333845362,2016-08-13 23:15:00,2016-08-14 04:00:00,4.75,3402.8
New York,36,8,40.7721053,-73.97166722,8.418346774193548,-0.6762385306480905,-0.7366827333845362,2016-08-13 23:15:00,2016-08-14 08:30:00,9.25,929.1052631578948
New York,36,8,43.24167426,-75.4358883,8.418346774193548,-0.6762385306480905,-0.7366827333845362,2016-08-13 23:15:00,2016-08-14 05:15:00,6.0,2661.36
New York,36,8,42.49352629,-75.61144344,8.418346774193548,-0.6762385306480905,-0.7366827333845362,2016-08-13 23:15:00,2016-08-14 18:30:00,19.25,3460.923076923077
New York,36,8,42.90217659,-74.43985937,8.418346774193548,-0.6762385306480905,-0.7366827333845362,2016-08-13 23:15:00,2016-08-14 05:15:00,6.0,875.92
New York,36,8,43.66134129,-74.49745908,8.418346774193548,-0.6762385306480905,-0.7366827333845362,2016-08-13 23:15:00,2016-08-14 19:15:00,20.0,3509.9135802469136
New York,36,8,43.41936241,-74.96255405,8.418346774193548,-0.6762385306480905,-0.7366827333845362,2016-08-13 23:15:00,2016-08-14 08:00:00,8.75,3645.75
New York,36,8,42.63374775,-75.03243898,8.418682795698924,-0.6763681324716531,-0.7365637442725568,2016-08-13 23:30:00,2016-08-14 19:30:00,20.0,3325.432098765432
New York,36,8,42.58814833,-74.44200509,8.418682795698924,-0.6763681324716531,-0.7365637442725568,2016-08-13 23:30:00,2016-08-14 07:30:00,8.0,737.060606060606
New York,36,8,43.11377432,-74.42194258,8.418682795698924,-0.6763681324716531,-0.7365637442725568,2016-08-13 23:30:00,2016-08-14 17:45:00,18.25,1426.027027027027
New York,36,8,43.10743063,-73.86394518,8.419018817204302,-0.6764977133582131,-0.7364447323602151,2016-08-13 23:45:00,2016-08-14 04:00:00,4.25,5327.666666666667
New York,36,8,43.31320642,-73.430748,8.419018817204302,-0.6764977133582131,-0.7364447323602151,2016-08-13 23:45:00,2016-08-14 09:30:00,9.75,2461.05
New York,36,8,41.888126,-74.25878826,8.42002688172043,-0.6768863303557603,-0.7360875598578694,2016-08-14 00:30:00,2016-08-14 07:45:00,7.25,8881.333333333334
New York,36,8,42.25731952,-78.02730689,8.420698924731182,-0.6771453035955861,-0.7358493309220587,2016-08-14 01:00:00,2016-08-14 03:30:00,2.5,4748.818181818182
New York,36,8,42.25016297,-73.63186276,8.420698924731182,-0.6771453035955861,-0.7358493309220587,2016-08-14 01:00:00,2016-08-14 16:00:00,15.0,2918.6393442622957
